Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
Genomic sequencing of Pediatric Rhabdomyosarcoma,phs000720.v5,Kathleen Calzone,NCI DAC,Yes,Javed Khan,Completed by GPA
The Undiagnosed Disease Program,phs000721.v1.p1,Sharna Tingle,NHGRI,,William Gahl,Released
Whole Exome Sequencing of Colorectal Cancer Epidemiologic Cohorts,phs000722.v3.p2,Sharna Tingle,NHGRI,,Marios Giannakis,Released
Sequencing of Cervical Cancer,phs000723.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Ling Lin,Released
�Rare Cancer Tumors Project,phs000725.v2.p1,Sharna Tingle,NHGRI,,David Wheeler,Released
The Genetics of Lung Cancer Susceptibility in Smokers,phs000728.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Follicular Lymphoma,phs000729.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Sami Malek,Released
Clinical Sequencing: Genome Sequencing of Brain Metastasis,phs000730.v1.p1,Sharna Tingle,NHGRI,,Eric Lander,Released
Linkage Disequilibrium and Signatures of Positive Selection Around LINE-1 Retrotransposons in the Human Genome,phs000732.v1.p1,Sharna Tingle,NHGRI,,William Burkholder,Released
CIDR High Density GWAS of Familial Prostate Cancer,phs000733.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Lisa Albright,Released
A Genome-wide Association Study (GWAS) of Risk for Osteosarcoma,phs000734.v1.p1,Geoffrey Tobias,NCI DAC,,Sharon Savage,Released
Genomic analysis of ameloblastomas identifies SMO and BRAF mutations that activate the pharmacologically accessible Hedgehog and MAP kinase signaling pathways,phs000739.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Robert West,Released
Whole Genome Sequencing of Waldenstrom�s Macroglobulinemia,phs000740.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Steven Treon,Released
Center for Mendelian Genomics [CMG] - Yale University Center for Mendelian Genomics,phs000744.v5.p2,Sharna Tingle,NHGRI,Yes,Richard Lifton,Released
Relating Clinical Outcomes in Multiple Myeloma to Personal Assessment of Genetic Profiles,phs000748.v7.p4,Emilie Charlisse Caga-Anan,NCI DAC,Yes,Sagar Lonial,Released
STAGING: Relating Clinical Outcomes in Multiple Myeloma to Personal Assessment of Genetic Profiles,phs000749.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Sagar Lonial,Awaiting GPA's Approval
High Density SNP Association Analysis of Lung Cancer,phs000753.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Xifeng Wu,Released
Baylor College of Medicine (BCM) Exome Sequencing of Intracranial Germ Cell Tumors,phs000754.v2.p1,Sharna Tingle,NHGRI,,David Wheeler,Released
Exome Sequencing to Identify Medically Relevant Associations in Finnish Sub-Isolate Samples from the FINRISK Cohort,phs000756.v1.p1,Sharna Tingle,NHGRI,,Nelson Freimer,Released
Spectrum of mutations in myeloid neoplasms,phs000759.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Kevin White,Released
GEI Study - Psoriasis,phs000766.v1.p1,Sharna Tingle,NHGRI,,Richard Gibbs,Released
The UC San Diego Chronic Lymphocytic Leukemia (CLL) Study,phs000767.v1.p1,Freddie Pruitt,NCI DAC,,Thomas Kipps,Released
Genomic Sequencing of Pediatric Ewing�s Sarcoma,phs000768.v2.p1,Kathleen Calzone,NCI DAC,,Javed Khan,Released
Somatic Mutation Profile by Next Generation Sequencing in HER2+ Breast Cancer,phs000770.v1.p1,Sharna Tingle,NHGRI,,David Wheeler,Released
Whole Exome Sequencing of Bladder Cancer Clinical Cohorts,phs000771.v2.p1,Sharna Tingle,NHGRI,,Levi Garraway,Released
Genome-Wide Study to Identify SNPs and CNPs Associated with Normal Tissue Toxicity following Radiation Therapy of Prostate Cancer,phs000772.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Barry Rosenstein,Released
Personalized Treatment of S�zary Syndrome through a CTLA4:CD28 Fusion,phs000773.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Winnie Liang,Released
Ontario Familial Colon Cancer Registry Single Nucleotide Polymorphisms and CpG methylation (OFCCR SNP-CpG),phs000779.v1.p1,Sharna Tingle,NHGRI,,Thomas Hudson,Released
Exome Sequencing of Childhood Wilms Tumor,phs000780.v1.p1,Ludmila Pawlikowska,NIDDK,,James Amatruda,Completed by GPA
Hepatocellular Carcinoma,phs000782.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Brandon Higgs,Released
Investigation into the Genetic Control of Micronutrient Metabolism,phs000789.v1.p1,Sharna Tingle,NHGRI,,Lawrence Brody,Released
Comparative Sequencing Analysis Between Primary and Metastatic Colorectal Cancer Lesions,phs000790.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Michael Berger,Released
Oncogenomics of Malignant Peripheral Nerve Sheath Tumors,phs000792.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Ping Chi,Released
Longitudinal genome-wide analysis of patients with chronic lymphocytic leukemia,phs000794.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Esteban Braggio,Released
Gastric cancer genetic analysis of metastasis,phs000795.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Hanlee Ji,Released
Shanghai breast cancer genetic study,phs000799.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Wei Zheng,Released
�Genome-Wide Association Study of Non-Hodgkin Lymphoma (NHL),phs000801.v2.p1,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
NHL GWAS: Chronic Lymphocytic Leukemia (CLL) Cases,phs000802.v2.p1,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
Profiling of Colon Cancer Clinical Cohorts,phs000803.v3.p1,Sharna Tingle,NHGRI,,Levi Garraway,Completed by GPA
Genomic Sequencing of Ewing Sarcoma,phs000804.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Todd Golub,Released
Comparison of Custom Capture for Targeted Next Generation DNA Sequencing,phs000811.v1.p1,Sharna Tingle,NHGRI,,Sameek Roychowdhury,Released
Characterizing Genetic Susceptibility to Breast and Prostate Cancer - BPC3,phs000812.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Peter Kraft,Released
"CIDR, NCI, NIDA Sequencing of Targeted Genomic Regions Associated with Smoking",phs000813.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Laura Bierut,Released
Dorrance Rare Childhood Center Transcriptomic and Genomic Studies For Known and Unknown Genetic Etiology,phs000816.v2.p1,Sharna Tingle,NHGRI,,David Craig,Released
NHL GWAS: Control set,phs000818.v2.p1,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
Normal Human Tissue Sequencing Project,phs000819.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Genome-Wide Discovery of Novel Breast Cancer Predisposing Mutations,phs000822.v1.p1,Sharna Tingle,NHGRI,,David Altshuler,Released
Genome-wide Discovery of Novel Cancer Predisposing Mutations in Melanoma,phs000823.v1.p1,Sharna Tingle,NHGRI,,David Altshuler,Released
Genome-wide Discovery of Novel Colon Cancer Predisposing Mutations,phs000824.v1.p1,Sharna Tingle,NHGRI,,David Altshuler,Released
Development and validation of a predictive algorithm for the degree of benefit from adjuvant trastuzumab: findings from the National Surgical Adjuvant Breast and Bowel Project (NSABP) Protocol B-31,phs000826.v1.p1,Freddie Pruitt,NCI DAC,,Katherine Pogue-Geile,Released
CSER: NCGENES (North Carolina Clinical Genomics Evaluation by NextGen Exome Sequencing,phs000827.v3.p1,Sharna Tingle,NHGRI,,James Evans,Released
Genomic Analysis of Hepatocellular Carcinoma,phs000828.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Julien Sage,Released
Phase 1b Trial of RAD001 in Patients with Operable Non-Small Cell Lung Cancer (NSCLC); NCT00401778,phs000829.v1.p1,Grace Mishkin,NCI DAC,,Fadlo Khuri,Released
"Transcription restores DNA repair to heterochromatin, Determining regional mutation rates in cancer genomes",phs000830.v1.p1,Mariam Eljanne,NCI DAC,,Raymond Cho,Released
Sporadic Amyotrophic Lateral Sclerosis,phs000831.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Whole Genome Sequencing of Two Family Trios with 22q.11.2 Deletion Syndrome,phs000837.v1.p1,Sharna Tingle,NHGRI,,Bernice Morrow,Released
A genome-wide association study of prostate cancer in West African men,phs000838.v1.p1,Geoffrey Tobias,NCI DAC,,Michael Cook,Released
Sanger Sequencing of Catalytic-domain Encoding Exons of Tyrosine Kinase Genes from Human Endometrial Tumor DNAs,phs000841.v1.p1,Sharna Tingle,NHGRI,,Daphne Bell,Released
Whole Genome Bisulfite Sequencing of ccd DNA and its Cellular Contributions,phs000846.v1.p1,Sharna Tingle,NHGRI,,Taylor Jensen,Released
African American Breast Cancer Consortium (AABC) Study,phs000851.v2.p2,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Haiman,Completed by GPA
Genome-wide analysis of Noncoding Regulatory Mutations in Cancer,phs000854.v4,Freddie Pruitt,NCI DAC,,Eric Lander,Completed by GPA
Resistance Studies in Lung Cancer,phs000855.v2.p1,Sharna Tingle,NHGRI,,Levi Garraway,Completed by GPA
Primary ER-positive Breast Cancer Treated with Neoadjuvant Letrozole,phs000857.v2.p1,Sharna Tingle,NHGRI,,Levi Garraway,Completed by GPA
Whole Genome Sequencing and Haplotyping of Blastocyst Biopsies,phs000858.v1.p1,Sharna Tingle,NHGRI,,Brock Peters,Released
Integrated Genomic Analysis of Sezary Syndrome,phs000859.v2.p1,Sharna Tingle,NHGRI,,David Wheeler,Released
Whole Exome Sequencing of Craniopharyngioma Tumors,phs000861.v2.p1,Sharna Tingle,NHGRI,,David Wheeler,Released
Genome-Wide Association Study of Renal Cell Carcinoma among African Americans,phs000863.v1.p1,Geoffrey Tobias,NCI DAC,,Joanne Colt,Released
Transcriptome sequencing of Pediatric Neuroblastoma,phs000868.v1.p1,Kathleen Calzone,NCI DAC,,Javed Khan,Released
Barrett's and Esophageal Adenocarcinoma Genetic Susceptibility Study (BEAGESS),phs000869.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Thomas Vaughan,Released
Large-scale Identification and Characterization of Alternative Splicing in the Human Transcriptome Through Computational and Experimental Approaches,phs000870.v1.p1,Sharna Tingle,NHGRI,,Graziano Pesole,Released
whole Exome Sequencing of Pancreatic Neuroendocrine Tumors,phs000871.v1.p1,Sharna Tingle,NHGRI,,David Wheeler,Released
�Transdisciplinary Research Into Cancer of the Lung (TRICL),phs000876.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Amos,Released
Transdisciplinary Research Into Cancer of the Lung (TRICL) - Meta-analysis,phs000877.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Amos,Released
Transdisciplinary Research Into Cancer of the Lung (TRICL): CIDR Lung Cancer Whole Exome Sequencing Project,phs000878.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Amos,Released
NHGRI CLL WES Relapse Study,phs000879.v2.p1,Sharna Tingle,NHGRI,,Jennifer Brown,Released
National Cancer Institute (NCI) Prostate Cancer Genome-wide Association Study for Uncommon Susceptibility Loci (PEGASUS),phs000882.v1.p1,Geoffrey Tobias,NCI DAC,,Sonja Berndt,Released
Gut Microbiome Profiles and Risk of Colorectal Cancer,phs000884.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Jiyoung Ahn,Released
CAGE profiling of ncRNAs in hepatocellular carcinoma reveals a strong activation of retroviral LTR promoters in virus-induced tumors,phs000885.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Piero Carninci,Released
eMERGE Network Imputed GWAS for 41 Phenotypes,phs000888.v1.p1,Sharna Tingle,NHGRI,,Rex Chisholm,Released
NHL GWAS: Diffuse Large B-Cell Lymphoma (DLBCL) Cases,phs000889.v1.p1,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
NHL GWAS: Follicular Lymphoma (FL) Cases,phs000890.v1.p1,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
NHL GWAS: Marginal Zone Lymphoma (MZL) Cases,phs000891.v1.p1,Geoffrey Tobias,NCI DAC,,Nathaniel Rothman,Released
CPTAC Proteogenomic Confirmatory Study,phs000892.v7.p1,Freddie Pruitt,NCI DAC,Yes,Xu Zhang,Released
Genome-Wide Association Study of Endometrial Cancer,phs000893.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Immaculata Devivo,Released
Integrated Genomic Analysis of Periampullary Tumors,phs000895.v1.p1,Sharna Tingle,NHGRI,,David Wheeler,Released
Genomic analysis of stage I serous carcinomas of the ovary,phs000897.v1.p1,Freddie Pruitt,NCI DAC,,Scott Kaufmann,Released
Megabase-scale Haplotyped Genomic Analysis of Normal and Cancer Genomes,phs000898.v2.p1,Sharna Tingle,NHGRI,,Hanlee Ji,Released
Functionally-defined Therapeutic Targets in Diffuse Intrinsic Pontine Glioma,phs000900.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Charles Keller,Released
Personal Genome Project,phs000905.v1.p1,Sharna Tingle,NHGRI,,George Church,Completed by GPA
eMERGE: A Multi-Center Pilot of Pharmacogenetic Sequencing in Clinical Practice,phs000906.v1.p1,Sharna Tingle,NHGRI,,Dan Roden,Released
Next Generation Sequencing of Stage IV Squamous Cell Lung Cancers Reveals an Association of PI3K Aberrations and Evidence of Clonal Heterogeneity in Patients with Brain Metastases,phs000907.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Paul Paik,Released
Molecular Basis of Neuroendocrine Prostate Cancer,phs000909.v1.p1,Sharna Tingle,NHGRI,,Levi Garraway,Released
Admixture mapping for Breast Cancer in Latinas,phs000912.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Elad Ziv,Released
Genomic Analysis of Mycosis Fungoides and S�zary Syndrome Identifies Recurrent Alterations in TNFR2,phs000913.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Paul Khavari,Released
Integrative Clinical Sequencing Analysis of Metastatic Castration Resistant Prostate Cancer Reveals a High Frequency of Clinical Actionability,phs000915.v3.p2,Emilie Charlisse Caga-Anan,NCI DAC,,Arul Chinnaiyan,Completed by GPA
Clinical Sequencing: Whole Exome Sequencing of CLL8 Cohort,phs000922.v3,Sharna Tingle,NHGRI,,Catherine Wu,Awaiting GPA's Approval
Molecular Characterization of Germ Cell Tumors,phs000923.v1.p1,Sharna Tingle,NHGRI,,Levi Garraway,Released
PAGE: The Charles Bronfman Institute for Personalized Medicine (IPM) BioMe Biobank,phs000925.v1.p1,Sharna Tingle,NHGRI,Yes,Ruth Loos,Released
CSER: Clinical Implementation of Carrier Testing Using Next Generation Sequencing (NGS),phs000927.v1.p1,Sharna Tingle,NHGRI,,Katrina Goddard,Released
CIDR GWAS of Breast Cancer in High Risk Women,phs000929.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Christopher Haiman,Released
A Somatic Reference Standard for Cancer Genome Sequencing,phs000932.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,David Craig,Released
Melanoma Exome Sequencing,phs000933.v4.p1,Freddie Pruitt,NCI DAC,,Ruth Halaban,Released
CSER: The CHOP/UPenn Pediatric Genetic Sequencing Project,phs000935.v1.p1,Sharna Tingle,NHGRI,,Ian Krantz,Released
The Landscape of Antisense Gene Expression in Human Cancers,phs000937.v1.p1,Natalie Abrams,NCI DAC,,Arul Chinnaiyan,Released
Evaluation of Hybridization Capture Versus Amplicon-based Methods for Whole Exome Sequencing,phs000938.v1.p1,Sharna Tingle,NHGRI,,Sameek Roychowdhury,Released
Profiling Chromatin State and Regulation in Lymphoma,phs000939.v2.p1,Sharna Tingle,NHGRI,,Bradley Bertstein,Released
Phylogenetic Analyses of Melanoma Reveal Complex Patterns of Metastatic Dissemination,phs000941.v1.p1,Mariam Eljanne,NCI DAC,,Raymond Cho,Released
Use of Whole Genome Sequencing for Diagnosis and Discovery in the Cancer Genetics Clinic,phs000942.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Theodora Ross,Released
TBCRC003: Phase II Study of Trastuzumab & Lapatinib in Metastatic HER + Breast Cancer,phs000943.v1.p1,Sharna Tingle,NHGRI,,Nikhil Wagle,Completed by GPA
eMERGE Phase III: Clinical Center at Partners HealthCare,phs000944.v1.p1,Sharna Tingle,NHGRI,,Scott Weiss,Released
Genomic Characterization of African-American Prostate Cancer,phs000945.v1.p1,Sharna Tingle,NHGRI,,Levi Garraway,Released
eMERGE: Genetic Discovery and Application in a Clinical Setting: Continuing a Partnership (eMERGE Phase 2),phs000948.v1.p1,Sharna Tingle,NHGRI,,Eric Larson,Released
Whole Exome Sequencing and RNAseq of SEER Ovarian FFPE Tissues,phs000950.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Danielle Carrick,Released
Whole Exome Sequencing of Microdissected Pancreatic Cancer,phs000953.v1.p1,Freddie Pruitt,NCI DAC,,James Willson,Released
"Geisinger Health System - MyCode, eMERGE III Exome Chip",phs000957.v1.p1,Sharna Tingle,NHGRI,,Marc Williams,Released
CSER: The MedSeq Project,phs000958.v1.p1,Sharna Tingle,NHGRI,,Robert Green,Released
eMERGE III: Columbia GENIE (Genomic Integration with EHR),phs000961.v1.p1,Sharna Tingle,NHGRI,,Chunhua Waeng,Released
NHGRI/CIDR Exploration of genetic variants associated with brain growth in children,phs000962.v1.p1,Sharna Tingle,NHGRI,,Philip Shaw,Released
VITamins And Lifestyle (VITAL),phs000965.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Emily White,Released
Exome Sequencing of Clear Cell Endometrial Tumors and Paired Non-tumor Samples,phs000967.v1.p1,Sharna Tingle,NHGRI,,Daphne Bell,Released
ClinSeq,phs000971.v3.p1,Sharna Tingle,NHGRI,Yes,Leslie Biesecker,Released
The Genomic Landscape of Juvenile Myelomonocytic Leukemia,phs000973.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Todd Golub,Released
Whole Genome Association Study of Mammographic Density,phs000975.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Rulla Tamimi,Released
Genetic analysis of desmoplastic melanoma,phs000977.v1.p1,Ian Fingerman,NCI DAC,,Boris Bastian,Released
Whole-genome sequencing of a malignant granular cell tumor with metabolic response to pazopanib,phs000978.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Carl Morrison,Released
Mutational Landscape Determines Sensitivity to PD-1 Blockade in Non-Small Cell Lung Cancer,phs000980.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Timothy Chan,Released
Functional Significance of Prostate Cancer risk-SNPs,phs000985.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Stephen Thibodeau,Released
The mutational landscape of CTCL and S�zary syndrome,phs000994.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Teresa Palomero,Released
"CSER: Clinical Sequencing in Cancer: Clinical, Ethical, and Technological Studies",phs000999.v3.p1,Sharna Tingle,NHGRI,,Gail Jarvik,Released
Prospective Procurement of Solid Tumor Tissue to Identify Novel Therapeutic Targets,phs001003.v4.p1,Kathleen Calzone,NCI DAC,,Steven Rosenberg,Released
Analysis of Genetic Factors in Melanoma-Antigen Discovery,phs001005.v2.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Lobular Carcinomas In Situ Display Intra-Lesion Genetic Heterogeneity and Clonal Evolution in the Progression to Invasive Disease,phs001006.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Tari King,Released
The Genetic Landscape of Metastasis and Recurrence in HNSCC,phs001007.v1.p1,Freddie Pruitt,NCI DAC,,Jennifer Grandis,Released
eMERGE III: CCHMC - eMERGE Cohorts - Phase IIIA,phs001011.v2.p1,Sharna Tingle,NHGRI,Yes,John Harley,Released
Breast Cancer Susceptibility,phs001017.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Molecular Characterization of Clinical Renal Tumors,phs001018.v1.p1,Sharna Tingle,NHGRI,,Levi Garraway,Released
Whole Exome Sequencing of Breast Cancer Epidemiological Cohort,phs001019.v1.p1,Sharna Tingle,NHGRI,,Levi Garraway,Completed by GPA
Male Infertility: Genetics of Spermatogenic Failure,phs001023.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Released
Baylor College of Medicine Advancing Sequencing in Childhood Cancer Care (BASIC3) Clinical Exome Sequencing Study,phs001026.v4.p1,Sharna Tingle,NHGRI,,Sharon Plon,Completed by GPA
Epigenetic studies in Acute Myeloid Leukemia,phs001027.v4.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Francine Garrett-Bakelman,Released
Comprehensive Deep Genome Analysis of Circulating Tumor Cells from a Patient with Metastatic Breast Cancer,phs001028.v1.p1,Sharna Tingle,NHGRI,,Brock Peters,Released
PAGE: Global Reference Panel,phs001033.v1.p1,Sharna Tingle,NHGRI,Yes,Carlos Bustamante,Released
Ovarian Tumor Risk and Environmental and Genetic Factors,phs001034.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Daniel Cramer,Released
Comprehensive Genomic Characterization of Acral Melanoma,phs001036.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Jeffrey Trent,Released
DNA Methylation Inhibitors in Immunotherapy,phs001038.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Timothy Chan,Released
Genetic basis for clinical response to CTLA-4 blockade in melanoma,phs001041.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Timothy Chan,Released
Whole Genome Sequencing of Newly Established Pancreatic Cancer Lines Identifies Novel Somatic Mutation (c.2587G>A) in Axon Guidance Receptor Plexin A1 as Enhancer of Proliferation and Invasion.,phs001042.v1.p1,Kathleen Calzone,NCI DAC,,Udo Rudloff,Completed by GPA
