dataset_title,description,dbGaP_phs,dbGaP_URL,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms
Tumor detection by analysis of both symmetric- and hemi-methylation of    plasma cell-free DNA,"Aberrant DNA methylation plays a critical role in tumorigenesis. While DNA methylation has been used for cancer detection and classification, DNA hemi-methylation, a novel epigenetic mark has not been analyzed  extensively in cancer epigenomes. Here we report a strand-specific (ss) sequencing method (MeDIP-Seq) for plasma cell free (cf) DNA (sscf-MeDIP-Seq),",phs003462.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003462,Zhiguo Zhang,Freddie Pruitt,Center for Cancer Genomics (CCG),,,2024-07-08,DS-HCC;DS-BT,MeDIP-Seq,Case-Control;Epigenetics;Tumor,Early Detection of Cancer,271.0,271.0,,,Liver Neoplasms;Brain Neoplasms;Healthy Volunteers,Liver Neoplasms; Brain Neoplasms; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour
Identification of High-Risk PHF19 Expressing Cells in Myeloma Single-Cell    Multiomics,"The aim of this study is to identify novel subsets of cells that are associated with progression and response to treatment. In this project, we study the tumor fraction from  49 myeloma patients across stages of progression. Samples were collected from 10 smoldering multiple myeloma (SMM), 22 newly diagnosed multiple",phs003220.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003220,Brian A. Walker,Nathaniel Boyd,Office of Data Sharing (ODS),38755140,,2024-07-08,GRU-NPU,OTHER;WGS,Single Cell Analysis;Tumor,Multiple Myeloma,49.0,186.0,,PHF19;TP53;EZH2;CDKN1B;PBX1,"Single-Cell Analysis;PHF19 protein, human;Whole Genome Sequencing","Al amyloidosis; Cell Myeloma, Plasma; Cell Myelomas, Plasma; Disease, Kahler; Familial Myeloma; Kahler Disease"
Genomic Characterization CS-MATCH-0007 Arm Z1B,The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).,phs002180.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002180,"Lyndsay Harris, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),33048619;31922567;36853016;37322121,Division of Cancer Treatment and Diagnosis,2024-07-08,GRU-COL,,Cohort;Exome Sequencing;RNA Sequencing,Neoplasms,29.0,29.0,https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match,CCND1;CCND2;CCND3,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Genomic Characterization CS-MATCH-0007 Arm C1,The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).,phs002177.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002177,"Lyndsay Harris, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),33048619;31922567;37322121,Division of Cancer Treatment and Diagnosis,2024-07-08,GRU-COL,,Cohort;Exome Sequencing;RNA Sequencing,Neoplasms,11.0,11.0,https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match,MET,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Genomic Characterization CS-MATCH-0007 Arm P,The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).,phs002152.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002152,"Lyndsay Harris, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),33048619;31922567;37322121,Division of Cancer Treatment and Diagnosis,2024-07-08,GRU-COL,,Cohort;Exome Sequencing;RNA Sequencing,Neoplasms,28.0,28.0,https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match,PTEN,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Cancer Moonshot Biobank,"The National Cancer Institute initiated the Cancer Moonshot Biobank to accelerate research through the collection and distribution of biospecimens for key research efforts. The Biobank will engage with over one  thousand cancer patients, being treated with standard-of-care therapies, for longitudinal biospecimen and data collection. Cancer patients will be",phs002192.v3.p2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002192,"Helen Moore, PhD",,,,,2024-07-03,GRU,Seq_DNA_SNP_CNV,Longitudinal,Neoplasms,248.0,1140.0,https://moonshotbiobank.cancer.gov/,"SLAMF7;CD274;VEGFA;ROS1;PDCD1;ERBB2;EGFR;CTLA-4;BRAF;ALK;Androgen
  R;PMSD4",Colorectal Neoplasms;Lung Neoplasms;Prostatic Neoplasms;Gastric and Esophageal Neoplasms;Melanoma;Multiple Myeloma,Lung Neoplasms; CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine
"Correlative Studies for Protocol #14-C-0059: T Cells Expressing an    Anti-GD2 Chimeric Antigen Receptor in Patients with GD2+ Solid Tumors,    a Collaboration with CIMAC-CIDC",This study is a retrospective correlative analysis of immune cell phenotypes in samples from a Phase I clinical trial (NCT02107963) of GD2 CAR-T cells (GD2-CAR.OX40.28.z.iC9) in children and young adults  with osteosarcoma and neuroblastoma. The study was a 3+3 dose-escalation study with four dose levels (1 x 10(5) transduced T cells/kg; 1 x 106,phs003455.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003455,Rosandra Kaplan;Sneha Ramakrishna,,,,,2024-06-28,GRU-PUB-COL,,Clinical Cohort;Clinical Trial;Marker Discovery;RNA Sequencing;Transcriptome Analysis,Osteosarcoma,15.0,103.0,https://clinicaltrials.gov/study/NCT02107963;https://cdp.cancer.gov/scientific_programs/cimac-cidc.htm,,Neuroblastoma;Neoplasms,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Natural Killer Cell Therapies for Hematologic Malignancies,"The ""Natural Killer Cell Therapies for Hematologic Malignancies"" study is an umbrella repository for data pertaining to multiple related clinical trials that aim to assess NK cell therapies as part  of treatment strategies for a range of hematologic malignancies. Here, data from two trials, NCT03068819 and NCT02782546, are presented. Cytokine",phs002681.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002681,,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),35196021;34871371,"P50CA171963;T32GM139799;K12CA167540;U01CA248235;T32HL00708843;R01CA205239;T32HL007088;F30AI16131;Children's Discovery Institute;Intersect Fellowship Program for Computational Scientists and Immunologists;American Society of Hematology Scholar Award;Gabrielle's Angel Foundation Award;St. Louis Children's Hospital Foundation;V Scholar Award V2018-007;Alvin J. Siteman Cancer Center;Young Investigator Award;Pilot Grant;Siteman Investment Program Research Development Award;ImmunityBio, Inc.;P30 CA091842",2024-06-28,DS-HM;NRUP,OTHER,Clinical Trial,Leukemia,36.0,81.0,,,"Killer Cells, Natural",Blood (Leukemia); Blood cancer; Leucocythaemia; Leucocythaemias; Leucocythemia; Leucocythemias
BIRC5 Upregulation Enhances DNMT3A-Mutant T-ALL Cell Survival and    Pathogenesis,"The goal of this study was to determine how patients with T-ALL who have DNA methyltransferase 3 alpha (DNMT3A) mutations develop resistance to therapy. Since DNMT3A is a methyltransferase, we  examined the effect of those mutations on epigenetic regulation using whole genome bisulfite sequencing (WGBS). We also assessed any changes in gene",phs003623.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003623,Grant Challen,Justin Benavidez,Division of Cancer Biology (DCB),,,2024-06-13,DS-CA,RNA-Seq;Bisulfite-Seq,Case Set,"Leukemia-Lymphoma, Adult T-Cell",10.0,10.0,,DNMT3A;BIRC5;STAT3;STAT5,Genomics;Epigenomics;Transcriptomics,ATLL; Adult T Cell Lymphoma/Leukemia; Adult T-Cell Leukemia; Adult T-Cell Leukemia-Lymphoma; Adult T-Cell Leukemia-Lymphomas; Adult T-Cell Leukemias
Structure of the Mucosal and Stool Microbiome in Lynch Syndrome,"The gut microbiota has been associated with colorectal cancer (CRC), but causal alterations preceding CRC have not been elucidated. To prospectively assess microbiome changes prior to colorectal neoplasia, we investigated  samples from 100 Lynch syndrome patients using 16S rRNA gene sequencing of colon biopsies, coupled with metagenomic and metatranscriptomic sequencing",phs002343.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002343,Curtis Huttenhower,Ian Fingerman,Division of Cancer Biology (DCB),32240601,,2024-06-13,GRU,RNA-Seq;WGS,Case Set,Colorectal Neoplasms,100.0,361.0,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA526861/,MHS6;MLH1;MSH2;PMS2,"Colorectal Neoplasms, Hereditary Nonpolyposis","CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal"
NCI Cancer Model Development for the Human Cancer Model Initiative (HCMI),"The Cancer Model Development Center (CMDC) project is part of the Human Cancer Model Initiative (HCMI) and is managed by the Office of Cancer Genomics within the Center for Cancer  Genomics at the National Cancer Institute (NCI). The goal of the HCMI is to generate approximately 1000 novel human ""next generation"" tumor-derived",phs001486.v4.p4,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001486,"Jean Claude Zenklusen, PhD;Jesse S. Boehm, PhD;Keith L. Ligon, MD, PhD;David A. Tuveson, MD, PhD",Freddie Pruitt,Center for Cancer Genomics (CCG),,,2024-06-13,GRU,,Longitudinal Cohort,Neoplasms,1117.0,1117.0,https://www.cancer.gov/ccg/research/functional-genomics/hcmi,,"Esophageal Neoplasms;Pancreatic Neoplasms;Neuroblastoma;Wilms Tumor;Osteosarcoma;Sarcoma, Ewing;Rhabdomyosarcoma;Liver Neoplasms;Glioblastoma;Neoplasms, Germ Cell and Embryonal;Medulloblastoma;Glioma;Colorectal Neoplasms;Breast Neoplasms;Lung Neoplasms;Stomach Neoplasms","Esophageal Neoplasms; Liver Neoplasms; Lung Neoplasms; Neoplasms, Germ Cell and Embryonal; Sarcoma, Ewing; Breast Cancer"
Childhood Cancer Data Initiative (CCDI): Identification and Targeting of    Treatment Resistant Progenitor Populations in T-cell Acute    Lymphoblastic Leukemia,"Our goal with this study was to identify the mechanisms of treatment resistance in T-cell acute lymphoblastic leukemia (ALL) using single-cell genomics. We profiled 40 T-ALL cases from the Children's  Oncology Group AALL0434 clinical trial using CITE-seq/snATAC-seq, capturing a breadth of immunophenotypes, including early T-cell precursor (ETP) and",phs003432.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003432,"David T. Teachey, MD;Kai Tan, PhD",Freddie Pruitt,Center for Cancer Genomics (CCG),32813610,,2024-06-12,GRU,RNA-Seq;ATAC-seq,Single Cell Analysis,Pediatrics,43.0,43.0,,S100A4;LGALS1;FAM30A;IGLL1;MEF2C;CTSW;PRDX1;HCST;HSH2D;KLF2;VAMP8;HOPX;CYBA;MT-ND3;ENO1;PEBP1;CD44,Neoplasms;Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Blastoma; CA; CA - Cancer; Cancer; MT
Germline Mutations and Developmental Mosaicism Underlying EGFR-Mutant    Lung Cancer,"We designed this study to examine the etiology of multiple lung tumors in EGFR-mutant non-small cell lung cancer patients who undergo surgical resection. Participants were 52-85 years old never or  former smokers, who had at least 2 surgical lung tumor pathology specimens available in the Massachusetts General Hospital biobank, at least one of",phs003379.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003379,"Gad Getz, PhD;Daniel Haber, Md, PhD;Shyamala Maheswaran, PhD",Nathaniel Boyd,Office of Data Sharing (ODS),,HHMI Investigator to Daniel Haber,2024-06-12,GRU,WXS,Case Set;Tumor vs. Matched-Normal,"Carcinoma, Non-Small-Cell Lung",12.0,68.0,,,,"Carcinoma, Non Small Cell Lung; Carcinoma, Non-Small Cell Lung; Carcinomas, Non-Small-Cell Lung; Lung Carcinoma, Non-Small-Cell; Lung Carcinomas, Non-Small-Cell; NONSMALL CELL LUNG CANCER"
Single-Cell Sequencing Reveals Distinct Microenvironment Cell Types    Associated with Response to High Dose Melphalan and Autologous Stem    Cell Transplant in Multiple Myeloma,"The aim of this study is to understand the transcriptome of microenvironment cells in pre- and post- autologous stem cell transplantation (ASCT) samples between patients with complete response and partial  response to transplant. Here, we studied immune cells from 40 multiple myeloma patients who have undergone ASCT. Samples were collected from 40",phs003219.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003219,Brian Walker,Nathaniel Boyd,Office of Data Sharing (ODS),,,2024-06-06,GRU-NPU,OTHER,Case Set,Multiple Myeloma,40.0,136.0,,,Single-Cell Analysis;Tumor Microenvironment,"Al amyloidosis; Cell Myeloma, Plasma; Cell Myelomas, Plasma; Disease, Kahler; Familial Myeloma; Kahler Disease"
FIGHT-207: Anonymized Genomic Alterations and Clinical Responses,"Background: FIGHT-207 was a phase 2 study of the FGFR1-FGFR3 inhibitor pemigatinib in patients with previously treated, locally advanced/metastatic or unresectable solid tumor malignancies harboring activating fibroblast growth factor receptor  (FGFR) gene alterations. Population information: 107 patients were divided into 3 cohorts: A. FGFR1&#x02013;FGFR3 fusions/rearrangements; n 49 B.",phs003590.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003590,"Jordi Rod&#243;n, MD, PhD;Silvia Damian, MD;Muhammad Furqan, MBBS;Jes&#250;s Garc&#237;a-Donas, MD, PhD;Hiroo Imai, MD, PhD;Antoine Italiano, MD, PhD;Iben Spanggaard, MD, PhD;Makoto Ueno, MD;Tomoya Yokota, MD, PhD;Lipika Goyal, MD",Freddie Pruitt,Center for Cancer Genomics (CCG),38789647,,2024-06-05,HMB-COL,Seq_DNA_SNP_CNV,Interventional;Longitudinal,Antineoplastic Agents,101.0,262.0,,FGFR1;FGFR2;FGFR3;TP53;BAP1,Neoplasms,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Common Deleterious Germline Variants Shape the Urothelial Cancer Genome,"Our study used whole-exome, whole-genome, and RNA sequencing to analyze samples from primary tumors, locally recurrent or metastatic urothelial tumors collected over time, and matched normal urothelium. We described the  molecular landscape of mutational signatures and structural variants in chemotherapy-resistant urothelial cancer. Inclusion Criteria: Patients with",phs001087.v4.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001087,"Bishoy Faltas, MD",Ian Fingerman,Division of Cancer Biology (DCB),"38499531;31278255;27749842;No PMID: The Interplay between Mutagenesis and Extrachromosomal DNA Shapes Urothelial Cancer Evolution | Nguyen DD, Hooper WF, Chu TR, Geiger H, Shelton JM, Shah M, Goldstein ZR, Winterkorn L, Sigouros M, Mahonar J, Moyer J, Wilkes D, Singh RR, Liu W, Sboner A, Tagawa ST, Nanus DM, Nauseef JT, Sternberg CN, Molina AM, Scherr D, Inghirami G, Mosquera JM, Elemento O, Robine N, Faltas BM.","R37CA279737;W81XWH-22-PRCRP-IA;SCC I16-0054;SCC
  I14-0047;The
  Polyethnic-1000 Initiative;KL2TR000458;ASCO-CCF Young Investigator Award",2024-06-05,HMB-MDS,Seq_DNA_SNP_MAF_Ind;AMPLICON;WGS;RNA-Seq;WXS;Seq_DNA_CNV_Segments,Case Set,"Carcinoma, Transitional Cell",174.0,554.0,,,Urinary Bladder Neoplasms;Neoplasm Metastasis,"Neoplasm Metastasis; Urinary Bladder Neoplasms; Metastase; Metastases, Neoplasm; Metastasis; Metastasis, Neoplasm"
"Immune Responses in Checkpoint Myocarditis Across Heart, Blood, and Tumor","Immune checkpoint inhibitors (ICIs) are widely used in anti-cancer therapies, but they can cause morbid and potentially fatal immune-related adverse events (irAEs), such as ICI-related myocarditis (irMyocarditis). The pathogenesis of  irMyocarditis and its relationship to anti-tumor immunity remain poorly understood. We sought to define immune responses in heart, tumor, and blood",phs003413.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003413,Alexandra-Chloe Villani,Freddie Pruitt,Center for Cancer Genomics (CCG),,,2024-06-03,GRU,RNA-Seq,Case-Control;RNA Sequencing;Single Cell Analysis;Transcriptome Analysis,Cardiovascular Diseases,69.0,147.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228597,,,"Adverse Cardiac Event; Adverse Cardiac Events; Cardiac Event; Cardiac Event, Adverse; Cardiac Events; Cardiac Events, Adverse"
Phase 2 Study of Pembrolizumab in Combination with Gemcitabine and    Cisplatin as Neoadjuvant Therapy,"The purpose of the clinical trial (NCT02690558) is to evaluate whether adding pembrolizumab (Keytruda) to the combination of gemcitabine and cisplatin will improve shrinkage of the tumor before having a  cystectomy, for people with muscle-invasive bladder cancer (MIBC). Patients from Phase 2 Study of Pembrolizumab in Combination With Gemcitabine and",phs003452.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003452,Matthew Milowsky,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,R01CA241810;Merck Sharp & Dohme LLC,2024-05-30,DS-CA,RNA-Seq;WXS,Case Set,Urinary Bladder Neoplasms,37.0,193.0,,,Immunotherapy;Drug Therapy,"Bladder Cancer; Bladder Cancers; Cancer of Bladder; Cancer of the Bladder; Cancer, Bladder; Cancer, Urinary Bladder"
Human Tumor Atlas Network (HTAN),"An NCI-funded Cancer Moonshot initiative to construct 3-dimensional atlases of the dynamic cellular, morphological, and molecular features of human cancers as they evolve from precancerous lesions to advanced disease. Note  for data in CDS: The raw sequencing files for this study are hosted in the NCI's Cancer Data Service (CDS), a data repository under the Cancer",phs002371.v6.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002371,Peter Sorger;Jon Aster;Sandro Santagata;Michael P. Snyder;James Ford;William Greenleaf;Jeremy Goecks;Gordon Mills;George Thomas;Ken S. Lau;Robert Coffey;Martha Shrubsole;Avrum Spira;Steven Dubinett;Kai Tan;Stephen Hunger;Bruce Johnson;Eun-sil (Shelley) Hwang;Carlo Maley;Robert West;Nir Hacohen;Dana Pe'er;Christine Iacobuzio-Donahue;Christopher Amos;Olivier Harismendy;Li Ding;Ryan Fields;William Gillanders;Samuel Achilefu,Sean Hanlon,Center for Strategic Scientific Initiatives (CSSI),,,2024-05-22,GRU,,Clinical Diagnostic Testing;Clinical Genetic Testing;Exome Sequencing;GWAS;Individual-Level Genomic Data;Longitudinal;Metastasis;Methylation Sequencing;Multicenter;RNA Sequencing;Sequencing;Single Cell Analysis;Tissue Expression;Transcriptome Analysis;Transcriptome Sequencing;Tumor;Whole Genome Sequencing,Neoplasms,1547.0,4615.0,,,Breast Neoplasms;Lung Neoplasms;Colorectal Neoplasms;Adenomatous Polyposis Coli;Brain Neoplasms;Pancreatic Neoplasms;Skin Neoplasms;Prostatic Neoplasms,Adenomatous Polyposis Coli; Lung Neoplasms; Skin Neoplasms; ADENOMATOUS POLYPOSIS OF THE COLON; APC; APC - Adenomatous Polyposis Coli
